question_no,question,correct_option,correct_answer,option_a,option_b,option_c,option_d
1,In which case was a registered society held to be an 'authority' for the purpose of Article 12?,B,Ajay Hasia vs. Khalid Mujib,Som Prakash vs. Union of India,Ajay Hasia vs. Khalid Mujib,Sukhdev vs. Bhagatram,R.D. Shetty vs. International Airport Authority
2,In which case did the Supreme Court of India held that fundamental rights cannot be waived?,D,Basheshar Nath vs. I.T. Commissioner,Gopala vs. State of Madras,Kameshwar Singh vs. State of Bihar,Golaknath vs. State of Punjab,Basheshar Nath vs. I.T. Commissioner
3,By which Constitutional Amendment was clause (4B) inserted into Article 16?,A,81,81,91,77,85
4,Which of the following statement is correct about 106th Constitutional Amendment Act?,D,All of these,It introduces Article 239A by which seats are reserved for women in legislative assembly of the national capital territory of Delhi.,It introduces Article 338 providing for the reservation of seats for women in the house of people.,It also adds Article 334A which states in that the said amendment will commence after the first census have been taken after the commencement of the said Act.,All of these
5,"The Parliament enacts the 'Fair Housing Act, 2024', which includes the following provisions: (1) Section 3: Prohibits discrimination in renting or selling houses based on religion, caste, or gender. (2) Section 6: Imposes a penalty of ₹ 10,000 for discrimination. (3) Section 10: Makes it mandatory for landlords to disclose the religious background of all tenants in the previous 10 years. A citizen challenges Section 10, arguing that it violates the right to privacy under Article 21 of the Indian Constitution. The Supreme Court declares Section 10 unconstitutional but upholds the other provisions of the law. What principle did the court apply in this decision?",B,Doctrine of Severability,Doctrine of Eclipse,Doctrine of Severability,Doctrine of Basic Structure,Doctrine of Colourable Legislation
6,The reports of the Comptroller and Auditor General of India relating to the accounts of a State shall be submitted to the _________.,A,Governor,Governor,Committee on Public Undertakings,Estimates Committee,Public Accounts Committee
7,Which of the following Article of the Constitution of India declares that the Supreme Court shall be a court of record?,C,Article 129,Article 119,Article 111,Article 129,Article 135
8,"Which article deals with the powers, privileges, and immunities of Parliament and its members?",B,105,107,105,108,102
9,Which Constitutional Amendment Act inserted provisions related to GST?,C,101,99,100,101,102
10,Who can initiate impeachment proceedings against the President of India?,A,Either House of Parliament,Either House of Parliament,Supreme Court,Only Lok Sabha,Rajya Sabha
11,"Bhartiya Nyaya Sanhita, 2023 considers force to be 'Criminal Force':",C,"When it is used intentionally without consent, causing injury, fear or annoyance.",When it is used unintentionally.,When intentionally uses force only.,"When it is used intentionally without consent, causing injury, fear or annoyance.",When it is used in self-defence.
12,"According to Bhartiya Nyaya Sanhita, 2023, what is the maximum fine for making or using a document that resembles a currency note or a bank note under Section 182(1)?",C,Three hundred rupees,One hundred rupees,Five hundred rupees,Three hundred rupees,One thousand rupees
